id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes
ts77795,Derry Girls,SHOW,2018,TV-MA,25,comedy,GB,3,tt7120662,8.4,28718
tm310953,Sorry to Bother You,MOVIE,2018,R,111,fantasy; scifi; drama; comedy,US,,tt5688932,6.9,75653
ts81064,Legacies,SHOW,2018,TV-14,42,scifi; drama; fantasy; horror,US,4,tt8103070,7.3,28877
tm318206,Den of Thieves,MOVIE,2018,R,140,thriller; action; crime; drama,US,,tt1259528,7,107701
ts83970,All American,SHOW,2018,TV-14,42,drama; sport,US,4,tt7414406,7.6,9704
ts81294,Manifest,SHOW,2018,TV-14,42,scifi; drama; thriller,US,3,tt8421350,7.1,50145
ts78305,Elite,SHOW,2018,TV-MA,48,crime; drama; thriller,ES,5,tt7134908,7.4,73062
ts78801,Cobra Kai,SHOW,2018,TV-14,31,action; comedy; drama; sport,US,5,tt7221388,8.6,163858
ts79813,You,SHOW,2018,TV-MA,47,thriller; crime; drama; romance,US,3,tt7335184,7.7,225949
ts77398,Lost in Space,SHOW,2018,TV-PG,49,scifi; action; drama; thriller; family,US,3,tt5232792,7.3,96868
ts57120,Good Girls,SHOW,2018,TV-14,42,comedy; drama; crime,US,4,tt6474378,7.7,49867
ts81884,Bodyguard,SHOW,2018,TV-MA,60,war; crime; drama; thriller; european,GB,2,tt7493974,8.1,114446
ts54102,Altered Carbon,SHOW,2018,TV-MA,52,scifi; thriller; action; drama,US,2,tt2261227,7.9,162018
ts75097,Maniac,SHOW,2018,TV-MA,39,drama; scifi; comedy,US,1,tt5580146,7.7,74877
ts84785,Dirty John,SHOW,2018,TV-MA,44,crime; drama,US,2,tt15438396,7.3,20817
ts81208,Charmed,SHOW,2018,TV-14,42,scifi; drama; fantasy,US,4,tt6394324,4.5,16091
ts58433,The Haunting of Hill House,SHOW,2018,TV-MA,58,drama; scifi; horror; thriller,US,1,tt6763664,8.6,226817
tm244364,The Nightingale,MOVIE,2018,R,136,thriller; drama; horror,AU,,tt4068576,7.3,28196
ts79229,Wild Wild Country,SHOW,2018,TV-MA,67,crime; documentation,US,1,tt7768848,8.1,29298
ts77955,Somebody Feed Phil,SHOW,2018,TV-14,52,documentation,US,5,tt7752034,8.2,4420
tm420745,How It Ends,MOVIE,2018,,113,thriller; action; drama; scifi,CA; US,,tt5246700,5,51513
tm350379,Ghostland,MOVIE,2018,R,91,horror; thriller; drama; european,FR; CA,,tt6195094,6.4,30444
tm425889,The Ballad of Buster Scruggs,MOVIE,2018,R,132,western; comedy; drama; romance,US,,tt6412452,7.3,141528
ts84328,The Bureau of Magical Things,SHOW,2018,TV-G,23,scifi; family; fantasy,AU,2,tt7153034,6.7,1914
ts58367,Safe,SHOW,2018,TV-MA,45,drama; thriller; crime; european,GB,1,tt7902072,7.2,41822
ts77852,Trolls: The Beat Goes On!,SHOW,2018,TV-G,21,comedy; romance; animation; family; fantasy,US,8,tt7539608,5.8,798
ts78430,Collateral,SHOW,2018,TV-MA,57,drama; thriller; crime,GB,1,tt6729080,6.7,17304
ts82849,The Kominsky Method,SHOW,2018,TV-MA,26,drama; comedy,US,3,tt7255502,8.2,38232
tm288499,Roma,MOVIE,2018,R,135,drama; european,MX; US,,tt6155172,7.7,153508
ts76458,Deadwind,SHOW,2018,TV-MA,46,drama; thriller; crime,FI,3,tt6616260,7.3,8762
ts52821,Watership Down,SHOW,2018,TV-PG,50,animation; action; drama; family; fantasy,GB,1,tt5670764,7.2,6043
ts80856,Chilling Adventures of Sabrina,SHOW,2018,TV-14,57,scifi; thriller; drama; horror; fantasy,US,4,tt7569592,7.4,90327
tm271951,Apostle,MOVIE,2018,R,130,thriller; horror; drama; fantasy,US; GB,,tt6217306,6.3,51038
tm371380,The Package,MOVIE,2018,R,94,comedy; drama; thriller,US,,tt7525778,5.5,17226
ts76869,Violet Evergarden,SHOW,2018,TV-14,25,drama; animation; scifi; fantasy; romance,JP,1,tt7078180,8.4,19940
ts82526,Narcos: Mexico,SHOW,2018,TV-MA,56,drama; crime,US,3,tt8714904,8.4,80902
tm310899,Mary Magdalene,MOVIE,2018,R,120,drama,GB; US; AU,,tt5360996,5.9,10234
ts72247,Disenchantment,SHOW,2018,TV-14,29,scifi; comedy; fantasy; animation; action,US,4,tt5363918,7.2,58639
tm435086,Level 16,MOVIE,2018,,102,thriller; drama; scifi; european,CA,,tt4006302,6,11118
ts82189,BAKI,SHOW,2018,TV-MA,24,action; animation; drama; sport,JP,3,tt6357658,6.7,5706
tm239286,The Cloverfield Paradox,MOVIE,2018,PG-13,102,thriller; horror; scifi; drama; action,US,,tt2548396,5.5,102759
tm414285,Abducted in Plain Sight,MOVIE,2018,G,91,crime; documentation; thriller; drama,US,,tt6098534,6.8,18165
ts77197,Seven Seconds,SHOW,2018,TV-MA,62,crime; drama,US,1,tt6297682,7.7,15323
tm419595,The Witch: Part 1. The Subversion,MOVIE,2018,,125,fantasy; action; european,KR,,tt8574252,7.1,9862
ts76865,Devilman Crybaby,SHOW,2018,TV-MA,25,scifi; animation; action; drama; fantasy; horror,JP,1,tt6660498,7.6,18575
tm371900,Calibre,MOVIE,2018,,101,thriller; horror; drama,GB,,tt6218358,6.8,27622
ts87369,Rust Valley Restorers,SHOW,2018,TV-14,45,documentation,CA,4,tt9498102,7.8,2732
tm374132,Bird Box,MOVIE,2018,R,124,thriller; drama; horror; scifi,US,,tt2737304,6.6,325194
ts78080,Everything Sucks!,SHOW,2018,TV-14,24,drama; comedy,US,1,tt7078710,7.5,18023
tm319818,Outlaw King,MOVIE,2018,R,121,drama; action; history; war,GB; US,,tt6679794,6.9,69834
ts78558,Queer Eye,SHOW,2018,TV-14,47,reality,US,6,tt7259746,8.5,18147
ts79926,James Acaster: Repertoire,SHOW,2018,TV-14,52,comedy,GB,1,tt7818686,8.4,3545
tm244332,Beirut,MOVIE,2018,R,109,thriller; action; crime; drama,US,,tt4669264,6.4,21843
tm315340,The Night Comes for Us,MOVIE,2018,R,121,thriller; action,ID,,tt6116856,6.9,25500
ts84010,Pine Gap,SHOW,2018,TV-MA,56,drama; thriller,AU,1,tt7371868,7.2,4772
tm414887,Destination Wedding,MOVIE,2018,R,84,romance; comedy; drama,US,,tt6987770,6,28933
ts80035,Nightflyers,SHOW,2018,TV-MA,44,scifi; thriller; drama; horror,US,1,tt6903284,5.8,13103
tm420348,Cam,MOVIE,2018,,95,horror; thriller; drama,US,,tt8361028,5.9,31042
ts57055,Black Lightning,SHOW,2018,TV-14,42,scifi; action; drama,US,4,tt6045840,6.1,24646
tm434202,Malevolent,MOVIE,2018,,89,horror; thriller,GB,,tt2386237,4.8,13290
tm366567,When We First Met,MOVIE,2018,PG-13,97,fantasy; comedy; romance,US,,tt5783956,6.4,48215
tm310706,Extinction,MOVIE,2018,R,96,drama; thriller; scifi; action,US,,tt3201640,5.8,51781
tm410435,To All the Boys Ive Loved Before,MOVIE,2018,PG-13,100,romance; comedy; drama,US,,tt3846674,7.1,101175
ts56480,Troy: Fall of a City,SHOW,2018,TV-MA,58,war; fantasy; romance; action,GB,1,tt5103758,3.9,13677
ts82597,The Dragon Prince,SHOW,2018,TV-Y7,27,scifi; animation; action; drama; family; fantasy; thriller,US,3,tt8688814,8.4,21635
tm244229,Everybody Knows,MOVIE,2018,R,132,drama; crime; thriller; european,IT; ES; FR,,tt4964788,6.9,34009
ts78452,Requiem,SHOW,2018,TV-MA,58,drama; animation; fantasy; thriller,GB,1,tt6712390,6.4,6421
ts85568,Perfume,SHOW,2018,TV-MA,29,crime; thriller; drama; documentation; comedy; romance,DE,1,tt10163260,7.1,8536
tm357589,The Guernsey Literary & Potato Peel Pie Society,MOVIE,2018,,124,romance; drama; history; war,GB; US; FR,,tt1289403,7.3,44917
ts80705,Evil Genius,SHOW,2018,TV-MA,48,crime; documentation,US,1,tt8342862,7.5,27516
ts81344,Explained,SHOW,2018,TV-MA,21,documentation,US,3,tt8005374,8,8831
ts82228,Cells at Work!,SHOW,2018,TV-14,23,action; fantasy; animation; comedy,JP,2,tt8673610,7.5,2206
ts81331,She-Ra and the Princesses of Power,SHOW,2018,TV-Y7,24,scifi; action; family; animation; fantasy; comedy; drama,US,5,tt7745956,7.8,14935
ts78356,The Rain,SHOW,2018,TV-MA,43,drama; scifi; thriller,DK,3,tt6656238,7.3,616
ts86169,The Innocent Man,SHOW,2018,TV-MA,47,documentation; crime,US,1,tt0914376,7.3,5883
tm243326,Anon,MOVIE,2018,R,100,scifi; drama; action; crime; thriller; european,US; GB,,tt5419536,6.1,42608
ts84280,Rascal Does Not Dream of Bunny Girl Senpai,SHOW,2018,TV-14,25,animation; comedy; thriller; fantasy; romance; drama,JP,1,tt8993398,8.1,10400
tm244197,Replicas,MOVIE,2018,PG-13,107,thriller; drama; scifi,PR; US; GB; CN,,tt4154916,5.5,37340
tm368449,Private Life,MOVIE,2018,R,123,drama; comedy,US,,tt6394284,7.2,19023
tm363248,A Futile and Stupid Gesture,MOVIE,2018,,101,comedy,US,,tt5566790,6.7,15750
tm362881,Mirai,MOVIE,2018,PG,98,fantasy; animation; drama; family,JP,,tt6900448,7,14983
tm232673,The Strangers: Prey at Night,MOVIE,2018,,85,thriller; horror,US; GB,,tt1285009,5.2,30499
ts77957,Dirty Money,SHOW,2018,TV-14,63,crime; documentation,US,2,tt7889220,8.1,9099
ts84904,Tidelands,SHOW,2018,TV-MA,42,scifi; fantasy; crime; drama,AU,1,tt6898970,6.8,7727
ts83999,Hilda,SHOW,2018,TV-Y7,25,scifi; family; fantasy; animation; comedy; drama,GB,2,tt6385540,8.5,10162
tm411311,King of Thieves,MOVIE,2018,R,108,drama; crime; history,GB,,tt5789976,5.5,14081
tm299677,Hold the Dark,MOVIE,2018,,125,thriller; horror; action; drama,US,,tt5057140,5.6,36500
ts82302,Insatiable,SHOW,2018,TV-MA,46,drama; comedy; thriller,US,2,tt6487482,6.5,27275
tm449070,Black Mirror: Bandersnatch,MOVIE,2018,R,90,scifi; thriller; fantasy; drama,GB; US,,tt9495224,7.1,123377
ts85895,Better Than Us,SHOW,2018,TV-MA,52,scifi; drama,RU,2,tt8285216,7.3,8711
tm363488,RBG,MOVIE,2018,PG,98,documentation,US,,tt7689964,7.6,14037
