Years,Quarter,Date,Quarter_Revenue,Subscribers_Addition,Subscribers_End_of_Period,Average_Paying_Membership,Average_Revenue_Per_Membership,Percentage_Change_Compare_To_Previous_Year,Currency_Change_As_Compared_To_Previous_Year_Period
2022,Q1,2022-03-31,916754,1087,33719,33176,9.21,-5,1
2022,Q2,2022-06-30,907719,1080,34799,34259,8.83,-9,-2
2022,Q3,2022-09-30,889037,1429,36228,35514,8.34,-13,-3
2022,Q4,2022-12-31,856711,1795,38023,37126,7.69,-17,-4
2021,Q1,2021-03-31,762414,1361,26853,26173,9.71,9,3
2021,Q2,2021-06-30,799480,1022,27875,27364,9.74,9,1
2021,Q3,2021-09-30,834002,2176,30051,28963,9.6,4,2
2021,Q4,2021-12-31,870705,2581,32632,31342,9.26,-1,2
2020,Q1,2020-03-31,483660,3602,19835,18034,8.94,-5,-3
2020,Q2,2020-06-30,569140,2657,22492,21164,8.96,-4,1
2020,Q3,2020-09-30,634891,1012,23504,22998,9.2,-1,-1
2020,Q4,2020-12-31,684609,1988,25492,24498,9.32,3,0
2019,Q1,2019-03-31,319602,1534,12141,11374,9.37,-2,3
2019,Q2,2019-06-30,349494,801,12942,12542,9.29,-1,5
2019,Q3,2019-09-30,382304,1543,14485,13714,9.29,0,3
2019,Q4,2019-12-31,418121,1748,16233,15359,9.07,-1,0
2018,Q1,2018-03-31,199117,893,7394,6948,9.55,8,4
2018,Q2,2018-06-30,221252,978,8372,7883,9.36,6,3
2018,Q3,2018-09-30,248691,1089,9461,8917,9.3,3,5
2018,Q4,2018-12-31,276756,1146,10607,10034,9.19,-4,2
