Years,Quarter,Date,Quarter_Revenue,Subscribers_Addition,Subscribers_End_of_Period,Average_Paying_Membership,Average_Revenue_Per_Membership,Percentage_Change_Compare_To_Previous_Year,Currency_Change_As_Compared_To_Previous_Year_Period
2022,Q1,2022-03-31,2561831,-303,73733,73885,11.56,0,6
2022,Q2,2022-06-30,2457235,-767,72966,73350,11.17,-4,6
2022,Q3,2022-09-30,2375814,568,73534,73250,10.81,-7,7
2022,Q4,2022-12-31,2350135,3195,76729,75132,10.43,-10,5
2021,Q1,2021-03-31,2343674,1810,68508,67603,11.56,11,4
2021,Q2,2021-06-30,2400480,188,68696,68602,11.66,11,2
2021,Q3,2021-09-30,2432239,1804,70500,69598,11.65,7,3
2021,Q4,2021-12-31,2523426,3536,74036,72268,11.64,5,6
2020,Q1,2020-03-31,1723474,6956,58734,55256,10.40,2,4
2020,Q2,2020-06-30,1892537,2749,61483,60109,10.50,4,8
2020,Q3,2020-09-30,2019083,759,62242,61863,10.88,5,3
2020,Q4,2020-12-31,2137158,4456,66698,64470,11.05,5,0
2019,Q1,2019-03-31,1233379,4724,42542,40180,10.23,-4,2
2019,Q2,2019-06-30,1319087,1687,44229,43386,10.13,-6,3
2019,Q3,2019-09-30,1428040,3126,47355,45792,10.40,1,6
2019,Q4,2019-12-31,1562561,4423,51778,49567,10.51,3,7
2018,Q1,2018-03-31,886649,3335,29339,27672,10.68,25,11
2018,Q2,2018-06-30,975497,1978,31317,30328,10.72,23,11
2018,Q3,2018-09-30,1004749,2519,33836,32577,10.28,11,10
2018,Q4,2018-12-31,1096812,3982,37818,35827,10.20,3,6
