Years,Quarter,Date,Quarter_Revenue,Subscribers_Addition,Subscribers_End_of_Period,Average_Paying_Membership,Average_Revenue_Per_Membership,Percentage_Change_Compare_To_Previous_Year,Currency_Change_As_Compared_To_Previous_Year_Period
2022,Q1,2022-03-31,998948,-351,39610,39786,8.37,13,20
2022,Q2,2022-06-30,1030234,14,39624,39617,8.67,16,15
2022,Q3,2022-09-30,1023945,312,39936,39780,8.58,9,16
2022,Q4,2022-12-31,1016846,1763,41699,40818,8.30,2,7
2021,Q1,2021-03-31,836647,357,37894,37716,7.39,-8,5
2021,Q2,2021-06-30,860882,764,38658,38276,7.50,1,2
2021,Q3,2021-09-30,915297,330,38988,38823,7.86,8,8
2021,Q4,2021-12-31,964150,973,39961,39475,8.14,14,17
2020,Q1,2020-03-31,793453,2901,34318,32868,8.05,3,12
2020,Q2,2020-06-30,785368,1750,36068,35193,7.44,-9,13
2020,Q3,2020-09-30,789384,256,36324,36196,7.27,-16,5
2020,Q4,2020-12-31,788522,1213,37537,36931,7.12,-13,4
2019,Q1,2019-03-31,630472,1470,27547,26812,7.84,-11,7
2019,Q2,2019-06-30,677136,343,27890,27719,8.14,-5,12
2019,Q3,2019-09-30,741434,1490,29380,28635,8.63,8,17
2019,Q4,2019-12-31,746392,2037,31417,30399,8.18,9,18
2018,Q1,2018-03-31,540182,1543,21260,20489,8.79,18,18
2018,Q2,2018-06-30,568071,1535,22795,22028,8.60,10,18
2018,Q3,2018-09-30,562307,1320,24115,23455,7.99,-3,14
2018,Q4,2018-12-31,567137,1962,26077,25096,7.53,-13,6
